katolik	catholic.
keluaran	1 s.t. produced, output. 2 graduate. 3 (bib.) exodus.
keluarga	1 family. 2 relative. 3 (biol.) genus. 4 group of people like a family.
kelub	see klub.
kelubak	see kubak.
kelubi	k.o. salacca palm with bitter edible fruit.
kelubung	cover, veil.
keluburan	pit for trapping animals.
kelucak	see kelocak.
kelucuan	1 humor, joking. 2 cuteness.
kelugasan	1 matter-of-factness, efficiancy. 2 simplicity, uneffectedness.
keluh	1 sigh, moan. 2 complaint.
keluhuran	1 grandeur, majesty. 2 nobleness (of character).
kelui	ramie, k.o. fiber.
keluih	see kluwih.
keluk	curved. ber-keluk 1 bend 2 have curves. keluk-an buckling.
kelukup	k.o. timber-yielding tree.
kelukur	ber-kelukur(an) abraded, scraped, grazed (of skin).
keluli	steel rods for reinforcing cement.
kelulu	proper, fitting.
kelumit	bit, part.
kelumpang	k.o. tall tree with malodorous flowers that yields soft, cheap wood.
kelumun	conver(let), wrapping.
kelun	1. ber-kelun billow (of smoke). 2. see kelon.
keluna	k.o. woody vine.
kelunak	k.o. tuber.
kelung	1 bent. 2 hollow, concave.
kelungguhan	job, position.
kelupaan	1 forget s.t. 2 forgetfulness.
kelupas	get peeled off.
kelupur	flutter.
keluron	(java) miscarriage, premature stillbirth. keluron-an have a miscarriage, bear a premature baby that dies.
keluronan	have a miscarriage, bear a premature baby that dies.
keluruk	(java) crow, go cock-a-doodle-do.
kelurut	whitlow.
kelus	1. abraded, scraped (of skin). 2. see kelos.
kelusuh-kelasah	very nervous.
kelut-melut	crisis, critical stage (of an illness, political situation, etc.).
kelutum	k.o. artocarpus tree the wood of which withstands water.
kelutut	k.o. wasplike insect the nests of which exude a sweet sticky substance.
keluwak	see keluak.
keluyuk	(china) meat dish with sweet sauce.
keluyur	1 loaf around, stroll about without purpose. 2 hang around.
kem.	[kementrian] ministry, department.
kemacetan	1 jamming, sticking, stagnation. 2 stoppage, shutdown.
kemah	1 tent. 2 camp. 3 awning aboard ship.
kemah-kemih	ber- chew.
kemahakuasaan	kemahakuasaan
kemak-kemik	1. ber- chew. 2. mumble.
kemakmuran	prosperity.
kemaksiatan	kemaksiatan
kemal	1 moist, damp, clammy. 2 dingy, grubby.
kemala	see gemala.
kemalangan	1 bad luck, calamity, distress. 2 struck by disaster or bad luck.
kemalingan	1 robbed. 2 theft, robbery.
kemam	ber-kemam mumble.
kemamang	(java) evil spirit in the shape of a flaming head.
kemampuan	1ability, capability. 2 prosperity.
kemana	see mana 1.
kemanakan	see kemenakan.
kemanan	(java) a percussion instrument used to mark the rhythm.
kemandang	see kumandang.
kemang	1. a supernatural being that attacks babies. 2. k.o. wild mango.
kemangi	k.o. basil.
kemangkatan	death, demise.
kemanjaan	comforting, familiarity.
kemanten	/kemantin/ (coll.) newlywed, bride or bridegroom.
kemanunggalan	total integration.
kemanusiaan	1 humanity, being a human. 2 human nature. 3 humanism.
kemarahan	1 fury, anger, wrath. 2 very angry.
kemarau	1 dray (of a season or the hold of a boat after bailing). 2 dry season. 3 having no money.
kemaren	see kemarin.
kemarhaenan	proletarianism.
kemari	come here.
kemarin	1 yerterday. 2 (java) in the past.
kemaron	k.o. earthenware waterjug.
kemartiran	martydom.
kemaruk	1 ravenous (esp. after a long illness). 2 greedy, covetous.
kemas	1 orderly, well kept (of a house, etc.), cleared away. 2 crated, boxed.
kemasakan	maturity.
kemasukan	1 possessed. 2 entered accidentally, have s.t. manage to get into it.
kemasyarakatan	social.
kemasyhuran	fame, renown.
kemat	see hikmah.
kemat-kamit	see komat-kamit.
kematu	hard as stone.
kemauan	kemauan
kemawan	see awan.
kemayu	(java) coquettish.
kembal	small wickerwork container (of rattan, bamboo or palm leaves).
kembala-kembali	go back and forth.
kembali	1 return, revert to. 2 once again. 3 you are welcome. 4 change (of money).
kemban	breast cloth (wrapped around the upper part of a woman's body).
kembang	1 flower. 2 breed (of germs, etc.).
kembar	1 twin. 2 in duplicate. 3 identical. 4 match, twin.
kembara	see embara.
kemben	see kemban.
kembeng	meng-(k)embeng flood, overflow.
kembili	k.o. large us. purplish edible tuber.
kembira	scatter in all directions (of a fleeing army, etc.).
kembiri	see kebiri.
kemboja	see kamboja.
kembok	1. see kobok. 2. see gembok.
kembol	meng- bulge (of pockets, etc.).
kembu	k.o. small basket for fish.
kembung	1. filled with air, puffed up, puffing, fill. 2. k.o. round rice basket.
kembur	chat, engage in small talk.
kemburuan	jealous.
kembut	k.o. woven basket.
kemegahan	greatness, glory.
kemeja	western-style shirt.
kemejan	see hiu.
kemekaran	efflorescence.
kemekmek	(jakarta) be fascinated.
kemelut	crisis, critical stage (of illness, fever, political situation, etc.).
kememadaian	satisfactoriness, sufficiency.
kemenakan	nephew, niece.
kemenangan	victory.
kemencongan	1 declivity. 2 going off in a skewed direction.
kemendang	mirage or shimmer caused by hot air.
kemendur	1 (naut.) commander. 2 harbor master. 3 civil official (during the colonial period). 4 overseer, foreman.
kemengkalan	irritation, annoyance.
kemenis	see komunis.
kementam	booming, thundering.
kemenyan	incense derived from gum benzoin.
kemerdekaan	freedom, liberty, independence.
kemerduan	sweetness of voice.
kemeresak	sound of rustling.
kemerlap	see gemerlap.
kemerup	flicker.
kemerut	see kerut1.
kemesraan	1 absorption. 2 love, feeling of being intimate.
kemet	o. with the magical power to have intercourse with a woman from afar.
kemi	1. sucking fish, the remora. 2. see kemih.
kemidi	see komidi.
kemih	(formal) urine.
kemik	dented.
kemil	(me)ng-(k)emil eat snacks. kemil-an snacks.
kemilap	see gemilap
kemilau	sheen, shiny, shining (of metal, jewel, velvet, moon, etc.).
kemiliteran	military.
keminting,kemiri	candlenut tree and its fruit.
keminusan	unproductiveness.
kemiringan	declivity, slope.
kemis	1. beg. 2. see penatu.
kemiskinan	proverty, destitution.
kemlandingan	the ipil-ipil, a fast-growing tree with edible beans planted to shade coffee and used as cattle feed or for green manure.
kemoceng	see kemucing.
kemolekan	loveliness, beauty.
kemong	1. sunken (of cheeks). 2. a small gong of the java gamelan.
kemot	see kemut 1,2.
kempa	a press.
kempal	see kimpal.
kempang	k.o. canoe.
kempang-kempis	pant.
kempas	k.o. tree.
kempas-kempis	panting for breath.
kempeitai	japanese military police (or a member of it) during the occupation.
kempek	bag for betel.
kempelang	see kemplang 1.
kempes	see kempih.
kempih	/kempis/ 1 deflated, flat (tire, etc.) 2 sunken (of cheeks, chest, etc.) 3 penniless. meng-(k)empih/(k)empis collapse (of lung, vein).
kempit	1. k.o. earthenware jug. 2. see kepit.
kemplang	1. meng-(k)emplang strike (esp. with the fist). kemplang-an blow, hit. 2. meng- sell fruit wholesale to middleman before harvesting. 3. meng- 1 not pay. 2 embezzle.
kempleng	twanging sound.
kemplong	(java) mallet for softening batik cloth.
kempo	k.o. martial art.
kempos	flat, deflated.
kempot	1. sunken, hollow (of cheeks). 2. broke, penniless.
kempu	k.o. round box with lid for clothing.
kempuh	1 soft, mushy (of food which is fully cooked). 2 very ripe (of fruit). 3 rotten, spoiled of food).
kempul	1. k.o. gamelan instrument containing several small horizontal gongs. 2. ber-kempul-kempul pant, be out of breath.
kempunan	1 be in a quandary, nervous, desperate. 2 long or yearn for.
kempung	sunken (of cheeks from loss of teeth).
kempungan	1 abdomen. 2 bladder.
kemreket	gnash (of teeth).
kemringet	(java) sweaty. ber-kemringet break into a sweat.
kemrungsung	(java) uncomfortable, ill at ease.
kemu	1. ber-, meng- rinse out the mouth. 2. meng- mutter, mumble.
kemucak	see kemuncak.
kemucing	feather duster.
kemudi	1 helm, rudder. 2 steering wheel. 3 reins (of gvt., management, etc.).
kemudian	afterwards, later, then.
kemudu-kudu	see selak 2.
kemuka	see muka.
kemukus	k.o. pepper, the cubeb.
kemul	1. (java) blanket, coverlet. 2. munch, gnaw at or on.
kemuliaan	magnificence, pomp, glory.
kemumu	1. k.o. seaweed. 2. k.o. aroid, the leaves and roots of which are eaten. 3. dandruff.
kemuncak	peak, top, summit, apex.
kemuncup	k.o. grass, the seeds of which adhere to o.'s clothing.
kemunduran	1.decline,decrease. 2.deterioration. 3. cutback (in production).
kemung	see kemong 2.
kemungkus	addled (of an egg).
kemuning	1 yellow (color). 2 k.o. tree producing beautiful yellow wood.
kemunting	the rose-myrtle, ashrub producing dark red edible berries.
kemurnian	1 purity, genuineness. 2 chastity.
kemusykilan	kemusykilan
kemut	1. 1) throb, beat (of pulse). 2) stagger. 2. 1) suck on (a piece of candy or as sexual act). 2) move up and down (of mouth when eating). kemut-an hard candy that is sucked.
kemutul	k.o. hardwood tree.
ken	(japanese) regency.
kena	1 be touched adversely, struck, hit, or affected by s.t. unpleasant, come into contact with. 2 hit s.t. 3 be subject to. 4 fit, be the right thing, be on the mark. 5 (coll., java) be allowed.
kenal	1 know, be familiar. 2 be acquainted with.
kenalpot	see knalpot.
kenan	1. birthmark. 2. ber-kenan 1) have the pleasure of , be so kind as to. 2) agree, approve of, endorse. memper-kenan-kan permit, allow.
kenang	be reminded of, think of.
kenang - kenangan	1 souvenir, keepsake, memento. 2 remembrances, fond memories. 3 ideals of the past.
kenanga	the ylang-ylang or cananga, a shrub the flowers of which produce oils for perfume.
kenap	small table.
kenapa	1 whay. 2 what happened to.
kenari	1. the canari tree and its nuts. kenari- belanda almond. 2. canary.
kencan	1 date, appointment. 2 date.
kencana	(lit.) gold.
kencang	1 fast, quick, speedy. 2 taut, tight. 3 selling well.
kencang-kencung	clanking sound.
kencar	ter-kencar-kencar 1 nervous, agitated. 2 in haste, hastily.
kenceng	1. bow drill. 2. frying pan.
kencerang-kencering	sound of jingling coins or metal ornaments.
kencing	1 urine. 2 urinate. kencing-batu kidney stone. kencing-darah blood in the urine. kencing-gula/manis diabetes. kencing-nanah gonorrhea.
kenco	(japanese) regent.
kencong	1. crooked, askew, awry. 2. pitcher plant.
kencung	see kencang-kencung.
kencur	greater galingale, a root crop resembling ginger, used as spice and medicine. masih bau-kencur still a virgin/still young and inexperience.
kendaga	1 cowries, shell money. 2 a chest or oblong box adorned with shell, glass, etc.
kendak	lover, mistress. ber-kendak have an affair with. kendak-an paramour.
kendakan	paramour.
kendala	constraint, obstacle.
kendali	reins.
kendang	1. k.o. small drum covered with leather at each end. ber-kendang(an) play a kendang. kendang-an membrane in ear. 2. ream of paper (480 sheets).
kendara	ber-kendara ride (in or on s.t.).
kendaraan	1 vehicle. 2 mount.
kendat,kendatan	interruption.
kendati	/kendati pun/ 1 although. 2 not to mention, much less.
kendeka	see kayu 1.
kendi	k.o. earthware flask with a neck and spout 9us for drinking water).
kendil	(java) pot for cooking rice.
kendiri	(coll.) see sendiri.
kendit	1 cloth belt, sash. 2 girdle.
kendo	(java) soft, slow (tone). / ke`ndo / martial arts with japanese staffs.
kendong	meng- carry s.t. in a cloth.
kendor	see kendur.
kenduduk	1. see ubi. 2. see senduduk.
kendur	1 slack (of rope, business). 2 loose. 3 flabby, not trim (of body). 4 lifeless, weak, without pep. 5 (ling.) lax. 6 slacken.
kenduri	(islam) ritual meal.
kenek	assistent to a driver.
kenekadan	determination.
keneker	marbles. ber-keneker play marbles.
kenes	1 coquettish. 2 affected (of female).
keng	bark, yelp (of dogs).
kengkang	see kangkang 2.
kengkeng	meng-kengkeng-kengkeng 1 yelp, howl (of a dog). 2 whimper, whine.
kenidai	name given to several k.o. bushes or trees.
kenikir	the cosmos, an ornamental flower with edible leaves.
kenikmatan	1 bliss, enjoyment. 2 comfort, amenity 3.the privilege of benefiting from s.t.
kening	1 brow, forehead. 2 eyebrow.
kenini	see kinine.
kenisah	(bib.) the temple in jerusalem.
kenohong	leprosy.
kenong	(java) k.o. small gong of the gamelan.
kenop	1. 1) knob, button. 2) button (of shirt, etc.). 2. see knop.
kenpeitai	see kempeitai.
kensel	kena-kensel experience a cancellation (us. of a trip).
kental	1 thick (of syrup). 2 strong (of coffee). 3 close (of friendships).
kentang	potato.
kentar	unit of weight for gold.
kentara	1 visible. 2 discernible, apparent, evident.
kentel	see kental.
kenteng	see genteng.
kentit	(java, jakarta) meng-(k)entit 1 steal s.t. 2 hide s.t.
kentong	/kentung/ 1 sound of a gong. 2 gong.
kentongan	1 drum made from bamboo or wood which is struck to sound an alarm. 2 alarm sounded by this drum.
kentrang-kentring	/kentrang-kentrung/ sound of strumming, strings being plucked.
kentut	1 flatus, stomach gas. 2 break wind, fart.
kenung	1 sound of gong. 2 a horizontal gong in the gamelan.
kenup	1. truncheon, bludgeon, billy club. 2. see kenop.
kenyal	1 tough, rubbery (of meat, etc.). 2 elastic (of fibers, etc.).
kenyam	meng-(k)enyam 1 taste, sample (food) 2 savor s.t. 3 experience, sample.
kenyamanan	1 freshness, fit feeling. 2 pleasure.
kenyang	1 satisfied, sated. 2 saturated.
kenyat-kenyit	/kenyat-kenyut/ pulsate, throb.
kenyataan	kenyataan
kenyi	/kenyih/ 1 sickly. 2 susceptible to disease.
kenyinyiran	talkativeness, loquacity.
kenyir	crave (food).
kenyit	meng-kenyit wink. meng-kenyit-kan wrinkle (the brows).
kenyot,kenyut	meng-(k)enyot suck (a nipple, etc.).
kenyot,kenyut  - an	1 nipple for baby's bottle. 2 candy to suck on.
keok	1. defeated, beaten (in sports). 2. cackle, cluck.
keonaran	1 confusion, boisterousness. 2 sensation. 3 disturbance.
keong	1 snail. 2 shape of snail's shell, coil, or spiral.
kep	1. cap, detonator, blasting cap. 2. (coll.) form of address to a kapten. 3. cowlick, tuft or similar configuration of hair on animals.
kep.	1. [keputusan] decision, decree. 2. [kepulauan] archipelago.
kepabrikan	industrialization.
kepada	see pada 1.
kepah	k.o. mollusk.
kepahlawanan	heroism.
kepai	see kapai.
kepak	1. wing (of bird, fowl). 2. see pak. ke`pak1. meng-(k)epak carry on the hip. ke`pak 2. meng-ke`pak-ke`pak flutter.
kepaksa	(coll.) see paksa 1.
kepal	1 lump, clod. 2 fist. se-kepal a handful or fistful.
kepala	1 head. 2 head, brain. 3 leader, head, chief executive. 4 the uppermost or foremost, principal part. 5 person, (per) head.
kepalang	insufficient, inadequate.
kepam	1 musty, stale. 2 faded.
kepandaian	cleverness, skill.
kepang	k.o. tree, the rotten xylem of which yields fragrant material.
kepanggung	see panggung.
kepaniteraan	secretariat.
kepanjangan	1 too long. 2 lenght. 3 duration. 4 continuation.
kepar	k.o. perchlike fish. /ke`par/ twilled cloth.
keparat	1. (vulg.) 1) dammit !, damned, accursed. 2) rogue. 3) infidel, heathen. 2. atonement through good deeds, sacrifice, etc.
kepasifan	passivity, inaction.
kepastian	1 certainty. 2 assurance. 3 for sure.
kepatang	(m) yesterday.
kepawangan	the field of animal training.
kepaya	see papaya.
kepayang	k.o. large tree which produces the spice keluwak.
kepecong	fall asleep (of leg or arm).
kepek	1. (java) notes for cheating on a test. 2. see kempek.
kepekaan	sensitivity.
kepekatan	1 thickness, concentration, density. 2 darkness.
kepelbagaian	diversity.
kepelet	1 be made to fall in love by magical means. 2 be seduced.
kepenak	see enak.
kepencong	fruit of the kepayang tree used as spice.
kepencut	(java) fall in love, be attracted to.
kependekan	1 abbreviation. 2 shortness. 3 too short.
kependetaan	clergy, ministry.
kependudukan	demography , see duduk.
kepeng	coin with square hole in center formerly worth 1/8 of a cent (in the colonial era).
kepengacaraan	matters dealing with lawyers.
kepenghuluan	territory of a penghulu.
kepengin	see kepingin.
kepengurusan	management, leadership (of an organization).
kepentingan	1 importance. 2 (self-) interest.
kepepet	see pepet.
keper	1.see kepar. 2. see kiper.
keperagawatian	modeling.
keperawanan	1 spinsterhood, maidenhood. 2 virginity.
kepergian	1 departure. 2 trip, journey. 3 going, passing, death.
kepergok	see pergok.
keperosok	sink in, slip into.
keperwiraan	heroism.
kepesatan	speed, momentum.
kepet	meng(kepet-kepet)kan shake, manipulate s.t. ke`pe`t 1. (jakarta) fin (of a fish). 2. fail to clean o.s. after defecating or fail to bathe. ng-(k)epet (vulg.) be a shit ass. 3. ng-(k)epet magically turn into an animal.
kepetang	see kepatang.
kepetangan	secret agent.
kepialu	migraine headache.
kepiat	dried coconut husk.
kepiatuan	orphaned.
