positif	/positip/ positive.
rangkai	bunch (of certain fruits).
rangkaian	1 series. 2 combination. 3 connecting structure (i.e. chain, etc).
rangkak	1 crawl on hands and kness. 2 make slow progress. 3 fawn.
rangkam	grasp s.t in the hands.
rangkang	(islam) religious training center for advanced islam studies.
rangkap	1. 1) double. 2) (ling.) phonetic cluster. 2. trap, pitfall.
rangkas	see ranggas.
rangkaya	/rangkayo/ (m) lady of the house.
rangket	(sunda) me-rangket thrash, beat up.
rangkiang	rice granary.
rangking	hood, canopy made of basketry.
rangkok	k.o. bird, k.o. hornbill.
rangkuh	see rengkuh.
rangkul	in o. embrace.
rangkum	an armful.
rangkuman	1 embrance. 2 armful. 3 summary.
rangkung	squat down, crouch.
rangkungan	see kerongkongan.
rangkup	1 hollow, cavity. 2 curve.
rangrang	see semut.
rangsang	1 exciting, stimulating. 2 pungent.
rangsek	(jakarta) attack.
rangsel	see ransel.
rangsuk	see rasuk 2.
rangsum	rations.
rangun	observation post, tower.
rangup	1 fragile. 2 crisp (i. e. cracker, chip, etc.).
rani	1. queen. 2 rich.
ranjah	loot, pillage.
ranjam	(java) see rajam.
ranjang	iron bed. ranjang-bayi baby's crib. ranjang-pengantin nuptial bed.
ranjau	(mil.) 1 bamboo spiked booby traps (set around village to wound enemy). 2 antipersonnel weapon, mine.
ranjing	1 possessed (by bad spirit, etc.), mania. 2 have a mania for s.t.
ranju	see ranjau.
ranjul	broken up, bumpy.
ranjungan	see rajungan.
ranking	/rengking/ grade rangking (in schools).
rankus	collect, gather s.t.
ransel	1 knapsack, backpack. 2 duffle bag.
ransum	see rangsum.
rantai	1 chain. 2 necklace. 3 series, sequence. 4 a measure of distance, esp. in rice fields.
rantam	do s.t. collectively.
rantang	set of stacked containers for transporting food.
rantas	1 broken off. 2 frayed.
rantau	1 (geog.) shoreline. 2 (geog.) reaches (of a river). 3 abroad, foreign country.
rante	see rantai.
ranting	1. 1) small branch, twig. 2) subsection, branch (of offices, parties, etc.). 2. dried up.
ranum	overripe. ripen.
ranyah	(m) be difficult, agitated (of infants).
ranyang	(m) 1 lively. 2 capricious.
ranyuk	grumble.
raon	see rawon.
rap	rapping sound, knocking.
rapah	walk, step on s.t.
rapak-lumuh	(islam) right of woman to appeal to judge if husband refuses to divorce her.
rapal	1 utter a prayer or incantation over s.o. 2 (sunda) bless and solemnize a wedding.
rapat	1 close, proximate, dense. 2 close, intimate, familiar. 3 meeting, assembly.
rapbd	[rencana anggaran pendapatan dan belanja daerah] regional budget.
rapbn	[rencana anggaran pendapatan dan belanja negara] national budget.
rapel	back pay.
rapi	orderly, neat.
rapiah	see rambutan.
rapih	see rapi.
rapim	[rapat pimpinan] meeting of the armed forces commanders.
rapkol	k.o. cabbage.
rapor	/raport, rapot/ school report card.
rapsodi	rhapsody.
rapuh	brittle, likely to snap.
rapun	(m) broken, destroyed.
rapung	see apung.
rarak	see rerak.
ras	1 sound of rustling (of papers, leaves, etc.). 2 reins. 3 race. 4 throroughbred.
rasa	1 taste, sensation. 2 feeling, sense. 3 be of a certain opinion.
rasai	suffer much.
rasain	(coll., jakarta) serves you right !.
rasaksa	see raksasa.
rasam	see resam 2.
rasamala	k.o. tree with fragrant wood.
rasan	(java) backbite, gossip about.
rase	civet cat.
raseksa	see raksasa.
raseksi	female giant.
rasi	1. 1) constellation. 2) lucky. 2. harmonious, matching, compatible.
rasia	1. see razia. 2. see rahasia.
rasial	racial.
rasialis	racialist.
rasialisme	racialism.
rasian	rasian
rasio	1 reason. 2 (match.) ratio.
rasional	/rasionil/ rational.
rasionalisasi	1 rationalization. 2 reduction in the number of workers in a firm.
rasisme	racism.
rasmi	see resmi.
rasuah	bribery, corruption.
rasuk	1. crossbar, cross beam. 2. possession by a spirit.
rasul	1 messenger sent by god. 2 (islam) prophet. 3 (rel.) apostle.
rasuli	(rel. islam) apostolic.
rasulullah	(islam) the messenger of god.
raswah	see rasuah.
rat	1. see erat. 2 see rad.
rata	1 flat, level. 2 even. 3 average.
ratah	simple, plain.
ratap	lamentation.
ratas	see retas.
ratib	(islam., lit.) repeated, chanted recitation of prayer.
ratib-sadati	k.o. traditional dance in aceh.
ratifikasi	ratification.
ratifisir	ratify.
ratio	see rasio.
ratna	gem, jewel.
ratu	1 (lit.) king. 2 queen.
ratus	1. hundred. 2. (java) k.o. perfumed powder used as incense.
ratusan	1) hundreds 2) a currency note or coin with the value of 100.
rau	see derau.
raum	see raung.
raun-raun	(sl.) go on a pleasure trip, stroll about, tour.
raung	sound of a siren, a siren.
raup	scoop up s.t. with the hands.
raupan	handful.
raut	shape, form.
rawa	/rawa-rawa/ swamp, marsh.
rawah	1. see rawa. 2. (m) basin.
rawai	fishing line (with several hooks).
rawak	(lit.) haphazard.
rawan	1. 1) (lit.) emotional, sensitive. 2) troubled, disturbed. 2. (lit.) classifier for articles of twine.
rawang	see rawa.
rawat	1 take care of, nurse. 2 (lit.) resume o.'s original form.
rawatan	1 treatment. 2 nursing, care.
rawe	k.o. liana causing itching.
rawe-rawe	/rawe-rawe rantas malang-malang putung/ (java) strive onward, no matter what (revolutionary slogan).
rawi	narrator, writer of story.
rawit	1. fine, small. 2. (java) music, song.
rawitan	overture (esp. gamelan music).
rawon	(java) k.o. beef stew made with keluak.
rawuh	(java) come (said of respected person).
rawun	overripe.
ray.	see ra 2.
raya	(lit.) great, large.
rayagung	(java) the 6th month of the arabic calendar.
rayah	plunder, raid.
rayan	be delirious, dream of s.t. preoccupying.
rayan-rayan	delirious.
rayang	dizzy.
rayap	termite.
rayau	1 fumble, grope. 2 rustle. 3 wander around. 4 be troubled.
rayon	area, district.
rayonisasi	process of dividing into administrative districts.
rayu	sad, touched, emotional.
rayuan	1 persuasion. 2 flattery, wooing.
razia	/rasia/ 1 raid by police (in red-light district, etc.). 2 unannounced examination of licenses, documents, etc. by police (in speed trap, during house-to-house search, etc.).
rdj	[republik demokrasi jerman] democratic republic of germany.
rdrk	[republik demokrasi rakyat korea] democratic people's republic of korea.
rdv	[republik demokrasi vietman] democratic republic of vietnam.
reagens	(chem.) reagent.
reak	see riak 2.
reaksi	reaction.
reaksioner	reactionary.
reaktor	(phys.) reactor..
real	see rial.
realis	realist.
realisasi	realization.
realisir	bring s.t. about.
realisme	realism.
realistis	realistic.
realitas	reality.
realokasi	reallocation.
reat-reot	sound of squeaking.
rebab	two-stringed musical instrument.
rebah	fall down, collapse.
rebak	1.be full of tears. 2. /re`bak/ deep cut, wound. 3. spread (of news, disease).
reban	chicken coop. /re`ban/ see reben.
rebana	tambourine.
rebas	see rabas.
rebat	enclose, fence in.
rebeh	hang down loosely.
rebek	1 (jakarta) dirty, not washed. 2 ugly. 3 disorderly.
